Date,FinBERT score
2021-09-30,-0.17964706420898438
2021-10-01,-0.009355992078781128
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,-0.1604490429162979
2021-10-05,0.0
2021-10-06,-0.1375530617577689
2021-10-07,0.0
2021-10-08,0.18421941995620728
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,-0.13390558106558664
2021-10-13,-0.1974843442440033
2021-10-14,-0.07890896002451579
2021-10-15,0.0
2021-10-16,-0.1486638089021047
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.20369097590446472
2021-10-20,0.0
2021-10-21,-0.37546396255493164
2021-10-22,-0.06669105092684427
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.028455602271216258
2021-10-26,0.10543719679117203
2021-10-27,0.0
2021-10-28,-0.21412086554548956
2021-10-29,-0.2230163337662816
2021-10-30,-0.15384613474210104
2021-10-31,0.38234299421310425
2021-11-01,0.12524820457805286
2021-11-02,0.13451474053519114
2021-11-03,0.0
2021-11-04,-0.06344716747601829
2021-11-05,0.014189655582110097
2021-11-06,0.11520898938179017
2021-11-07,0.044206399809230454
2021-11-08,0.12351917369025094
2021-11-09,0.0
2021-11-10,-0.000670313835144043
2021-11-11,-0.0059241801500320435
2021-11-12,0.05320708751678467
2021-11-13,-0.05305272340774538
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.06167686837060111
2021-11-17,-0.021572003761927288
2021-11-18,-0.10010521610577901
2021-11-19,-0.020443207339236612
2021-11-20,0.0
2021-11-21,0.13306143454142977
2021-11-22,0.0
2021-11-23,0.12039416176932198
2021-11-24,0.1832810491323471
2021-11-25,0.0
2021-11-26,-0.13389218846956888
2021-11-27,-0.25489866733551025
2021-11-28,0.07261013984680173
2021-11-29,0.167350172996521
2021-11-30,0.3598393499851227
2021-12-01,0.004232443869113922
2021-12-02,-0.1692718267440796
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.060354411602020264
2021-12-08,0.18067319691181183
2021-12-09,-0.09494446856634957
2021-12-10,-0.1377243569919041
2021-12-11,-0.23928505182266235
2021-12-12,-0.12208868265151977
2021-12-13,0.3151107132434845
2021-12-14,0.4411904513835907
2021-12-15,0.28232913547092015
2021-12-16,0.11754739743012649
2021-12-17,-0.009740960597991944
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,-0.14156089888678658
2021-12-21,0.0676998496055603
2021-12-22,-0.23075821569987706
2021-12-23,-0.045000817094530375
2021-12-24,-0.03231747150421142
2021-12-25,0.0
2021-12-26,0.07433527166193182
2021-12-27,-0.08824102445082231
2021-12-28,-0.042906257013479866
2021-12-29,0.014677047729492188
2021-12-30,0.0
2021-12-31,0.04825103282928467
2022-01-01,0.1237885852654775
2022-01-02,-0.011456906795501709
2022-01-03,0.11612861976027489
2022-01-04,0.260913149877028
2022-01-05,0.0430909670316256
2022-01-06,-0.31614001989364626
2022-01-07,0.0
2022-01-08,-0.02401788668199018
2022-01-09,-0.18763647973537445
2022-01-10,0.11551992459730669
2022-01-11,0.15394331018129986
2022-01-12,0.03885475488809439
2022-01-13,0.14281210899353028
2022-01-14,0.09235617187288073
2022-01-15,0.30903854966163635
2022-01-16,0.0
2022-01-17,-0.2311622202396393
2022-01-18,0.0
2022-01-19,-0.09677680134773255
2022-01-20,-0.262153616973332
2022-01-21,-0.2055412821471691
2022-01-22,-0.16240747769673666
2022-01-23,-0.15342716375986734
2022-01-24,-0.1001522421836853
2022-01-25,-0.06073314696550369
2022-01-26,0.09025947650273643
2022-01-27,0.05005540756078867
2022-01-28,-0.027674588064352676
2022-01-29,-0.17775567869345346
2022-01-30,0.1470910370349884
2022-01-31,0.06736252109209696
2022-02-01,-0.005457597394143382
2022-02-02,-0.2768668603897095
2022-02-03,0.0038325576530154077
2022-02-04,-0.02477720022201538
2022-02-05,0.21888377144932747
2022-02-06,0.04234469362667629
2022-02-07,0.10907648111644544
2022-02-08,-0.0697476023977453
2022-02-09,0.0066342413425445335
2022-02-10,-0.20884607235590616
2022-02-11,-0.30453563820232044
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,-0.07645398378372194
2022-02-16,0.0
2022-02-17,0.1250811219215393
2022-02-18,0.1389232690517719
2022-02-19,-0.26548674276896883
2022-02-20,0.0
2022-02-21,-0.5316574374834696
2022-02-22,0.16164301633834838
2022-02-23,-0.22584559236254012
2022-02-24,-0.2183333158493042
2022-02-25,-0.0008307754993438721
2022-02-26,0.22050662338733673
2022-02-27,0.12167918682098387
2022-02-28,-0.10905565818150838
2022-03-01,0.23694533109664914
2022-03-02,-0.5395475268363953
2022-03-03,0.08009574562311172
2022-03-04,-0.1304022348844088
2022-03-05,-0.13892871141433716
2022-03-06,0.0
2022-03-07,-0.1381146265910222
2022-03-08,-0.09305740396181743
2022-03-09,0.07711829897016287
2022-03-10,0.01716596881548564
2022-03-11,0.0
2022-03-12,-0.08905109763145447
2022-03-13,-0.11437880992889403
2022-03-14,0.0
2022-03-15,0.31172730922698977
2022-03-16,-0.037019610404968276
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.07064755938269875
2022-03-20,0.0
2022-03-21,0.5814669728279114
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,-0.18354662827083043
2022-03-27,0.0
2022-03-28,0.10207515103476388
2022-03-29,0.03329887241125107
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,-0.0768546462059021
2022-04-02,-0.2551197608311971
